Format Version,1.23,Take Name,railsar_final,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-07-23 03.48.57.523 PM,Total Frames in Take,10062,Total Exported Frames,10062,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SAR,SAR,SAR,SAR,SAR,SAR,SAR,SAR:Marker1,SAR:Marker1,SAR:Marker1,SAR:Marker2,SAR:Marker2,SAR:Marker2,SAR:Marker3,SAR:Marker3,SAR:Marker3
,ID,"28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","C9C00","C9C00","C9C00","C93D0","C93D0","C93D0","C9D60","C9D60","C9D60"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
25,0.069444,-0.007197,-0.001631,0.006793,-0.999950,-5.019189,1.784258,-0.068711,-4.980333,1.780064,-0.005492,-4.987162,1.781471,-0.174028,-5.087709,1.789081,-0.027143
26,0.072222,-0.006096,-0.003031,0.006301,-0.999957,-5.019294,1.784139,-0.068774,-4.980338,1.780170,-0.005551,-4.987855,1.780023,-0.173437,-5.087550,1.789125,-0.027310
27,0.075000,-0.006780,-0.002757,0.007463,-0.999945,-5.019347,1.784072,-0.068771,-4.980855,1.779037,-0.004986,-4.987759,1.780178,-0.173182,-5.087551,1.789166,-0.027380
28,0.077778,-0.005976,-0.001834,0.007111,-0.999955,-5.019108,1.784158,-0.068833,-4.980309,1.780146,-0.005519,-4.987720,1.780102,-0.173545,-5.087557,1.789148,-0.027353
29,0.080556,-0.001392,-0.002535,0.000497,-0.999996,-5.019223,1.784685,-0.069070,-4.980619,1.782385,-0.006428,-4.987753,1.780207,-0.173140,-5.087538,1.789167,-0.027381
30,0.083333,-0.006348,-0.001994,0.006928,-0.999954,-5.019207,1.784071,-0.068807,-4.980831,1.779147,-0.004977,-4.987777,1.780157,-0.173178,-5.087573,1.789224,-0.027386
31,0.086111,-0.006578,-0.001840,0.007297,-0.999950,-5.019223,1.784053,-0.068799,-4.980829,1.779022,-0.004959,-4.987753,1.780205,-0.173179,-5.087572,1.789038,-0.027351
32,0.088889,-0.007658,-0.001727,0.007515,-0.999941,-5.019287,1.784181,-0.068654,-4.980842,1.779056,-0.004975,-4.987770,1.780184,-0.173172,-5.087716,1.789116,-0.027125
33,0.091667,-0.005497,-0.002508,0.005395,-0.999967,-5.019321,1.784273,-0.068843,-4.980502,1.779353,-0.005205,-4.987713,1.780201,-0.173538,-5.087537,1.789153,-0.027357
34,0.094444,-0.004147,-0.001963,0.002082,-0.999987,-5.019185,1.784652,-0.068899,-4.980670,1.782328,-0.006434,-4.987154,1.781491,-0.174000,-5.087527,1.789193,-0.027338
