,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SAR,SAR,SAR,SAR,SAR,SAR,SAR,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker:Marker1,Marker:Marker1,Marker:Marker1,Marker:Marker2,Marker:Marker2,Marker:Marker2,Marker:Marker3,Marker:Marker3,Marker:Marker3,SAR:Marker1,SAR:Marker1,SAR:Marker1,SAR:Marker2,SAR:Marker2,SAR:Marker2,SAR:Marker3,SAR:Marker3,SAR:Marker3
,ID,"28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","D29767ABAD7A11E97C158CA05683C95","D29767ABAD7A11E97C158CA05683C95","D29767ABAD7A11E97C158CA05683C95","D29767ABAD7A11E97C158CA05683C95","D29767ABAD7A11E97C158CA05683C95","D29767ABAD7A11E97C158CA05683C95","D29767ABAD7A11E97C158CA05683C95","C4A50","C4A50","C4A50","C4B70","C4B70","C4B70","C4B90","C4B90","C4B90","C42B0","C42B0","C42B0","C4310","C4310","C4310","C4420","C4420","C4420"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
10,0.027778,-0.007095,0.001690,-0.005033,-0.999961,-5.079852,1.781792,-1.792482,0.059237,0.010549,-0.544406,-0.836661,-1.285917,0.304694,-1.752338,-1.256491,0.309262,-2.025766,-1.310381,0.298986,-1.528684,-1.290627,0.302937,-1.702818,-5.042439,1.777163,-1.729246,-5.047765,1.781620,-1.897205,-5.149038,1.787121,-1.751910
11,0.030556,-0.006530,0.001028,-0.004867,-0.999966,-5.079849,1.781767,-1.792562,0.053142,0.009286,-0.487730,-0.871326,-1.286035,0.304697,-1.752443,-1.256541,0.309370,-2.025986,-1.310351,0.299114,-1.528692,-1.290617,0.302928,-1.702829,-5.042202,1.777409,-1.729205,-5.047777,1.778775,-1.896978,-5.149070,1.787182,-1.751906
12,0.033333,-0.006367,0.000674,-0.004680,-0.999969,-5.079883,1.781742,-1.792586,0.054508,0.009422,-0.495879,-0.866628,-1.286097,0.304812,-1.752324,-1.256501,0.309255,-2.025880,-1.310328,0.299105,-1.528794,-1.290629,0.302913,-1.702795,-5.042836,1.777063,-1.729255,-5.047927,1.778377,-1.897285,-5.149060,1.787180,-1.751883
13,0.036111,-0.007010,0.001547,-0.004506,-0.999964,-5.080057,1.781770,-1.792516,0.053643,0.009621,-0.491987,-0.868895,-1.285941,0.304762,-1.752400,-1.256492,0.309274,-2.025782,-1.310362,0.299071,-1.528719,-1.290430,0.303208,-1.702871,-5.042434,1.777188,-1.729229,-5.048012,1.781460,-1.897368,-5.149080,1.787025,-1.751853
14,0.038889,-0.007091,0.000609,-0.004456,-0.999965,-5.079874,1.781810,-1.792484,0.049080,0.008838,-0.449716,-0.891778,-1.285875,0.304789,-1.752435,-1.256470,0.309287,-2.025790,-1.310364,0.299058,-1.528706,-1.290439,0.303408,-1.702914,-5.042386,1.777250,-1.729269,-5.048030,1.781554,-1.897360,-5.147906,1.787798,-1.751480
15,0.041667,-0.006322,0.000813,-0.004625,-0.999969,-5.079909,1.781725,-1.792602,0.054644,0.009258,-0.500000,-0.864250,-1.285942,0.304736,-1.752374,-1.256541,0.309193,-2.025872,-1.310341,0.299058,-1.528686,-1.290420,0.303344,-1.702887,-5.042251,1.777220,-1.729245,-5.047920,1.778449,-1.897249,-5.149061,1.787131,-1.751883
16,0.044444,-0.009785,0.001094,-0.000432,-0.999951,-5.079795,1.781546,-1.792478,0.057778,0.010555,-0.530992,-0.845339,-1.285918,0.304719,-1.752432,-1.256642,0.309182,-2.025776,-1.310367,0.299029,-1.528694,-1.290617,0.302923,-1.702842,-5.042439,1.777161,-1.729237,-5.047746,1.781696,-1.897183,-5.147861,1.787740,-1.751549
17,0.047222,-0.007239,0.001594,-0.004138,-0.999964,-5.080037,1.781804,-1.792541,0.051818,0.009265,-0.476966,-0.877344,-1.285839,0.304884,-1.752353,-1.256661,0.309284,-2.025632,-1.310316,0.299224,-1.528854,-1.290232,0.305920,-1.701915,-5.042321,1.777103,-1.729383,-5.047752,1.781731,-1.897188,-5.149096,1.787063,-1.751804
18,0.050000,-0.006867,0.000763,-0.004063,-0.999968,-5.079823,1.781765,-1.792484,0.051344,0.009111,-0.472186,-0.879955,-1.285866,0.304834,-1.752395,-1.256445,0.308941,-2.026064,-1.310371,0.298998,-1.528680,-1.290300,0.303369,-1.703004,-5.042658,1.777161,-1.729292,-5.047772,1.778734,-1.896986,-5.147883,1.787778,-1.751513
19,0.052778,-0.008910,0.001712,-0.002944,-0.999955,-5.079817,1.781633,-1.792382,0.052414,0.009706,-0.480492,-0.875377,-1.285856,0.304884,-1.752358,-1.256123,0.309589,-2.025700,-1.310389,0.299078,-1.528717,-1.290197,0.305987,-1.701917,-5.042435,1.777161,-1.729212,-5.047728,1.781662,-1.897247,-5.149077,1.787027,-1.751855
