Format Version,1.23,Take Name,Left_reflector_data_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-07-23 04.12.40.637 PM,Total Frames in Take,1335,Total Exported Frames,1335,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Left Reflector,Left Reflector,Left Reflector,Left Reflector,Left Reflector,Left Reflector,Left Reflector,Left Reflector:Marker1,Left Reflector:Marker1,Left Reflector:Marker1,Left Reflector:Marker2,Left Reflector:Marker2,Left Reflector:Marker2,Left Reflector:Marker3,Left Reflector:Marker3,Left Reflector:Marker3,Radar:Marker1,Radar:Marker1,Radar:Marker1,Radar:Marker2,Radar:Marker2,Radar:Marker2,Radar:Marker3,Radar:Marker3,Radar:Marker3
,ID,"8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","CE4A0","CE4A0","CE4A0","CE180","CE180","CE180","CE300","CE300","CE300","CE4E0","CE4E0","CE4E0","CE400","CE400","CE400","CE4F0","CE4F0","CE4F0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000688,-0.002479,-0.085107,-0.996369,-5.054854,1.780117,-1.660705,-0.550591,-0.802733,-0.137887,0.182908,1.002267,0.262499,-2.871531,1.011903,0.242831,-2.646934,1.004795,0.259677,-2.821601,0.989731,0.285697,-3.145895,-5.040735,1.783100,-1.576651,-5.045679,1.780705,-1.737748,-5.076116,1.778343,-1.667495
1,0.002778,0.000199,-0.001354,-0.068127,-0.997676,-5.055032,1.780569,-1.661025,-0.613093,-0.756369,-0.145886,0.175330,1.002165,0.262452,-2.871431,1.011858,0.242775,-2.646939,1.004571,0.259464,-2.821576,0.989718,0.285723,-3.145895,-5.041085,1.783109,-1.576500,-5.046378,1.780575,-1.739987,-5.075904,1.779558,-1.666927
2,0.005556,0.001638,-0.001685,-0.052497,-0.998618,-5.055079,1.780984,-1.661244,-0.483322,-0.844818,-0.129155,0.189741,1.002296,0.262541,-2.871572,1.011893,0.242834,-2.646960,1.004575,0.259425,-2.821560,0.989803,0.285767,-3.145897,-5.040745,1.783381,-1.576465,-5.046408,1.779214,-1.739821,-5.075901,1.779462,-1.666924
3,0.008333,0.001190,-0.002080,-0.068653,-0.997638,-5.055005,1.780625,-1.661135,-0.527675,-0.817851,-0.135277,0.185417,1.002239,0.262324,-2.871505,1.011814,0.242700,-2.646968,1.004576,0.259400,-2.821561,0.989796,0.285711,-3.145847,-5.040732,1.783307,-1.576488,-5.046409,1.779182,-1.739824,-5.076148,1.778409,-1.667500
4,0.011111,-0.000261,-0.001634,-0.067051,-0.997748,-5.055056,1.780505,-1.661116,-0.503223,-0.832978,-0.132391,0.188113,1.002237,0.262275,-2.871496,1.011867,0.242786,-2.646930,1.004608,0.259047,-2.821432,0.989794,0.285753,-3.145878,-5.041090,1.783070,-1.576532,-5.046435,1.779209,-1.739832,-5.076147,1.778406,-1.667501
5,0.013889,0.000886,-0.000969,-0.071611,-0.997432,-5.055097,1.780622,-1.661110,-0.554740,-0.799774,-0.139022,0.182476,1.002224,0.262365,-2.871464,1.011846,0.242738,-2.646913,1.004557,0.259451,-2.821530,0.989851,0.285808,-3.145825,-5.041116,1.783148,-1.576509,-5.046391,1.779257,-1.739827,-5.076115,1.778286,-1.667482
6,0.016667,-0.000124,-0.002568,-0.066517,-0.997782,-5.054930,1.780581,-1.661047,-0.525831,-0.819061,-0.135004,0.185516,1.002286,0.262469,-2.871522,1.011840,0.242776,-2.646930,1.004535,0.259427,-2.821531,0.989886,0.285716,-3.145893,-5.040739,1.783250,-1.576462,-5.046437,1.779220,-1.739850,-5.076141,1.778492,-1.667461
7,0.019444,0.000683,-0.001745,-0.048995,-0.998797,-5.055062,1.780858,-1.661202,-0.464352,-0.855164,-0.127520,0.191862,1.002287,0.262217,-2.871432,1.011894,0.242505,-2.647056,1.004558,0.259099,-2.821419,0.989851,0.285741,-3.145887,-5.040741,1.783299,-1.576485,-5.045619,1.781625,-1.737157,-5.075932,1.779500,-1.666911
8,0.022222,-0.000247,-0.002078,-0.066599,-0.997778,-5.054974,1.780547,-1.661064,-0.552359,-0.801478,-0.138500,0.182618,1.002276,0.262344,-2.871501,1.011810,0.242736,-2.646930,1.004536,0.259420,-2.821545,0.989887,0.285780,-3.145886,-5.040776,1.783267,-1.576484,-5.045619,1.781632,-1.737197,-5.076119,1.778466,-1.667495
9,0.025000,0.002649,-0.002379,-0.066633,-0.997771,-5.054999,1.780479,-1.661308,-0.610542,-0.758451,-0.145773,0.175329,1.002243,0.262359,-2.871448,1.011778,0.242714,-2.646870,1.004550,0.259407,-2.821501,0.989876,0.285840,-3.145835,-5.040777,1.783357,-1.576470,-5.046402,1.779154,-1.739876,-5.076104,1.778342,-1.667498
10,0.027778,0.000735,-0.001016,-0.039906,-0.999203,-5.055161,1.781034,-1.661270,-0.469867,-0.852181,-0.128365,0.191139,1.002205,0.262254,-2.871427,1.011778,0.242711,-2.646875,1.004073,0.258580,-2.820980,0.989881,0.285844,-3.145846,-5.041113,1.783197,-1.576511,-5.046438,1.779183,-1.739854,-5.076102,1.783215,-1.666952
