Format Version,1.23,Take Name,Radar_3,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-07-23 04.25.32.538 PM,Total Frames in Take,9628,Total Exported Frames,9628,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar:Marker1,Radar:Marker1,Radar:Marker1,Radar:Marker2,Radar:Marker2,Radar:Marker2,Radar:Marker3,Radar:Marker3,Radar:Marker3,Unlabeled 1140,Unlabeled 1140,Unlabeled 1140,Unlabeled 1141,Unlabeled 1141,Unlabeled 1141
,ID,"8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","CF3B0","CF3B0","CF3B0","CF390","CF390","CF390","CF3D0","CF3D0","CF3D0","CF410","CF410","CF410","CF450","CF450","CF450"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
23,0.063889,0.000118,-0.001735,-0.083318,-0.996522,-4.997447,1.782105,-0.036301,-4.984281,1.782843,0.047691,-4.988913,1.781528,-0.115769,-5.019212,1.780050,-0.042300,,,,,,
24,0.066667,-0.000504,-0.002404,-0.080889,-0.996720,-4.997312,1.782020,-0.036272,-4.983818,1.781300,0.048713,-4.988824,1.781506,-0.115592,-5.018799,1.780364,-0.042424,,,,,,
25,0.069444,-0.000712,-0.002352,-0.081615,-0.996661,-4.997386,1.782004,-0.036273,-4.983432,1.781375,0.048389,-4.988818,1.781557,-0.115602,-5.019206,1.780020,-0.042300,,,,,,
26,0.072222,0.000267,-0.001816,-0.073934,-0.997262,-4.997472,1.782190,-0.036346,-4.983980,1.782449,0.048020,-4.988923,1.781526,-0.115766,-5.019520,1.779899,-0.042390,,,,,,
27,0.075000,0.000062,-0.002169,-0.074913,-0.997188,-4.997406,1.782204,-0.036323,-4.983798,1.782001,0.048157,-4.988851,1.781503,-0.115614,-5.018987,1.780191,-0.042286,,,,,,
28,0.077778,-0.000523,-0.002428,-0.081246,-0.996691,-4.997414,1.781944,-0.036279,-4.983837,1.781260,0.048699,-4.988846,1.781467,-0.115602,-5.019517,1.779827,-0.042351,,,,,,
29,0.080556,-0.000300,-0.002350,-0.080275,-0.996770,-4.997400,1.782009,-0.036286,-4.983417,1.781422,0.048341,-4.988819,1.781485,-0.115614,-5.019510,1.779932,-0.042385,,,,,,
30,0.083333,-0.001670,-0.001616,-0.085432,-0.996341,-4.997495,1.782115,-0.036151,-4.984117,1.783006,0.047518,-4.988457,1.783561,-0.113724,-5.019223,1.780021,-0.042319,,,,,,
31,0.086111,-0.000926,-0.002336,-0.082763,-0.996566,-4.997392,1.782031,-0.036203,-4.983427,1.781410,0.048335,-4.988909,1.781548,-0.115810,-5.019208,1.779999,-0.042312,,,,,,
32,0.088889,0.000222,-0.001835,-0.075715,-0.997128,-4.997516,1.782195,-0.036384,-4.984954,1.782406,0.047678,-4.988832,1.781541,-0.115623,-5.019251,1.780086,-0.042341,,,,,,
33,0.091667,-0.000182,-0.002331,-0.081705,-0.996654,-4.997427,1.782044,-0.036299,-4.983777,1.781974,0.048152,-4.988825,1.781527,-0.115600,-5.019548,1.779861,-0.042397,,,,,,
34,0.094444,0.000047,-0.002103,-0.082217,-0.996612,-4.997398,1.782032,-0.036297,-4.983982,1.782486,0.048047,-4.988931,1.781533,-0.115802,-5.019227,1.780026,-0.042307,,,,,,
35,0.097222,-0.000377,-0.002119,-0.080996,-0.996712,-4.997407,1.782057,-0.036325,-4.983964,1.782448,0.048029,-4.988927,1.781563,-0.115774,-5.019533,1.779904,-0.042438,,,,,,
36,0.100000,-0.000457,-0.001495,-0.082242,-0.996611,-4.997457,1.782021,-0.036287,-4.984169,1.783022,0.047522,-4.988832,1.781508,-0.115570,-5.019027,1.780222,-0.041721,,,,,,
37,0.102778,-0.000270,-0.001965,-0.076223,-0.997089,-4.997480,1.782231,-0.036281,-4.983964,1.782473,0.048020,-4.988928,1.781538,-0.115799,-5.019495,1.779940,-0.042417,,,,,,
38,0.105556,-0.000495,-0.002344,-0.079827,-0.996806,-4.997407,1.781999,-0.036301,-4.983427,1.781353,0.048357,-4.988831,1.781528,-0.115632,-5.019514,1.779929,-0.042413,,,,,,
39,0.108333,-0.000335,-0.002061,-0.081014,-0.996711,-4.997406,1.782028,-0.036328,-4.983793,1.781969,0.048154,-4.988928,1.781520,-0.115800,-5.019483,1.779912,-0.042427,,,,,,
40,0.111111,-0.000309,-0.001378,-0.075821,-0.997120,-4.997523,1.782130,-0.036312,-4.984128,1.782959,0.047527,-4.988933,1.781568,-0.115792,-5.019516,1.779811,-0.042387,,,,,,
41,0.113889,-0.001667,-0.002294,-0.083621,-0.996494,-4.997421,1.782086,-0.036146,-4.983446,1.781353,0.048353,-4.988451,1.783517,-0.113695,-5.019246,1.780022,-0.042327,,,,,,
42,0.116667,-0.000188,-0.002150,-0.082783,-0.996565,-4.997410,1.782071,-0.036278,-4.983783,1.782042,0.048147,-4.988934,1.781486,-0.115790,-5.019233,1.780023,-0.042352,,,,,,
43,0.119444,-0.002665,-0.002259,-0.076053,-0.997098,-4.997409,1.781723,-0.036328,-4.983435,1.781342,0.048356,-4.988838,1.781472,-0.115584,-5.019496,1.779837,-0.042384,,,,,,
44,0.122222,-0.000295,-0.001412,-0.074434,-0.997225,-4.997463,1.782174,-0.036311,-4.984152,1.782988,0.047524,-4.988829,1.781473,-0.115596,-5.018807,1.780376,-0.042420,,,,,,
45,0.125000,0.000200,-0.001934,-0.082731,-0.996570,-4.997438,1.782082,-0.036362,-4.984243,1.782825,0.047684,-4.988922,1.781547,-0.115774,-5.019488,1.779856,-0.042393,,,,,,
