,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SAR,SAR,SAR,SAR,SAR,SAR,SAR,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Right Reflector,Right Reflector,Right Reflector,Right Reflector,Right Reflector,Right Reflector,Right Reflector,Radar:Marker1,Radar:Marker1,Radar:Marker1,Radar:Marker2,Radar:Marker2,Radar:Marker2,Radar:Marker3,Radar:Marker3,Radar:Marker3,Right Reflector:Marker1,Right Reflector:Marker1,Right Reflector:Marker1,Right Reflector:Marker2,Right Reflector:Marker2,Right Reflector:Marker2,Right Reflector:Marker3,Right Reflector:Marker3,Right Reflector:Marker3
,ID,"28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","CB540","CB540","CB540","CB600","CB600","CB600","CD6A0","CD6A0","CD6A0","CD560","CD560","CD560","CD590","CD590","CD590","CD5B0","CD5B0","CD5B0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
9,0.025000,,,,,,,,-0.001044,-0.000050,-0.088449,-0.996080,-5.013973,1.781255,-0.503070,-0.192422,-0.016563,0.498116,0.845328,-0.998412,0.302384,-0.111719,-5.001029,1.783559,-0.418976,-5.004549,1.782368,-0.580536,-5.034956,1.779873,-0.508472,-0.917210,0.309394,-0.322916,-0.980927,0.304440,-0.159978,-1.097837,0.292372,0.145069
10,0.027778,,,,,,,,-0.001016,-0.000569,-0.072322,-0.997381,-5.014003,1.780969,-0.503148,-0.183009,-0.015846,0.474346,0.860960,-0.998315,0.302455,-0.111659,-5.000940,1.781289,-0.418993,-5.005437,1.780267,-0.582553,-5.034949,1.779919,-0.508465,-0.917244,0.309360,-0.322841,-0.980408,0.303910,-0.159641,-1.097850,0.292369,0.145069
11,0.030556,,,,,,,,-0.001567,-0.000448,-0.067315,-0.997731,-5.014202,1.781184,-0.503130,-0.156073,-0.013605,0.406717,0.900021,-0.998396,0.302762,-0.111564,-5.000821,1.781468,-0.418664,-5.005406,1.780277,-0.582530,-5.034953,1.779863,-0.508454,-0.917240,0.309443,-0.322966,-0.980218,0.306375,-0.157102,-1.097485,0.292555,0.145139
12,0.033333,,,,,,,,0.000097,0.000230,-0.035958,-0.999353,-5.014205,1.781701,-0.503362,-0.091480,-0.007158,0.236441,0.967303,-0.998343,0.302374,-0.112022,-5.000836,1.781477,-0.418660,-5.005422,1.780254,-0.582574,-5.035151,1.783743,-0.509346,-0.917609,0.309197,-0.322809,-0.979576,0.303566,-0.158565,-1.097274,0.293735,0.143746
13,0.036111,,,,,,,,0.001673,0.000239,-0.041912,-0.999120,-5.014240,1.781879,-0.503388,-0.133608,-0.011082,0.346334,0.928482,-0.998397,0.302515,-0.111964,-5.000874,1.782769,-0.418477,-5.005420,1.780284,-0.582550,-5.035187,1.783596,-0.509303,-0.917289,0.309097,-0.323176,-0.980410,0.303998,-0.159623,-1.097323,0.293768,0.143763
14,0.038889,,,,,,,,-0.002714,-0.000727,-0.073242,-0.997310,-5.013974,1.781073,-0.503121,-0.113085,-0.009104,0.292226,0.949596,-0.998333,0.302214,-0.111849,-5.000823,1.781675,-0.419251,-5.005417,1.780283,-0.582548,-5.034970,1.779865,-0.508459,-0.917791,0.308718,-0.322479,-0.980379,0.303974,-0.159602,-1.097838,0.292459,0.145105
15,0.041667,,,,,,,,-0.000638,-0.000418,-0.074524,-0.997219,-5.014020,1.780963,-0.503147,-0.085393,-0.006669,0.219886,0.971758,-0.998317,0.302173,-0.111950,-5.000823,1.781459,-0.418650,-5.005423,1.780177,-0.582542,-5.034782,1.779543,-0.508493,-0.917818,0.308632,-0.322498,-0.979543,0.303062,-0.159052,-1.097294,0.293741,0.143731
16,0.044444,,,,,,,,-0.000797,-0.000392,-0.064394,-0.997924,-5.014214,1.781071,-0.503146,0.230355,0.020642,-0.598537,0.766984,-0.998192,0.302194,-0.111814,-5.000834,1.781393,-0.418651,-5.005423,1.780274,-0.582538,-5.034983,1.779827,-0.508464,-0.917239,0.309497,-0.323028,-0.978972,0.301882,-0.158338,-1.097286,0.293760,0.143734
17,0.047222,,,,,,,,-0.000921,-0.000544,-0.065511,-0.997851,-5.014220,1.781054,-0.503152,0.236445,0.021734,-0.613597,0.753074,-0.998334,0.302322,-0.111637,-5.000971,1.781262,-0.419011,-5.005423,1.780319,-0.582548,-5.034989,1.779836,-0.508445,-0.918790,0.310343,-0.320847,-0.979720,0.303249,-0.159211,-1.097395,0.293771,0.143873
18,0.050000,,,,,,,,-0.001044,-0.000595,-0.074005,-0.997257,-5.013996,1.780954,-0.503157,-0.130243,-0.010969,0.338318,0.931911,-0.998403,0.302442,-0.111613,-5.000937,1.781289,-0.419031,-5.005435,1.780279,-0.582518,-5.034763,1.779577,-0.508489,-0.917305,0.309150,-0.323165,-0.979476,0.304619,-0.157972,-1.097792,0.292518,0.145059
